DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
;300041;INSTIT.;ASS BENEFICENTE COMUNITARIA ANJOS DA ESPERANCA;;;;RUA COUTINHO E MELO;377   ;VILA AUREA;08411090;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE COMUNITARIA ANJOS DA ESPERANC;;;;;;;;;;;;;;;;;;;;;;;;;;
;300042;INSTIT.;ALDEIAS INFANTIS SOS BRASIL;;;;AVENIDA FERNANDO AMARO MIRANDA;61    ;JARDIM COLONIAL;04821100;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300043;INSTIT.;APAE - ASS DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAO PAULO;;;;RUA LOEFGREN;2109  ;VILA CLEMENTINO;04040033;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;APAE - ASS DE PAIS E AMIGOS DOS EXCEPCIONAIS ;;;;;;;;;;;;;;;;;;;;;;;;;;
;300044;INSTIT.;ASS BENEFICENTE COMUNITARIA CRIANCAS DE DEUS;;;;RUA EDGARD LEUENROTH;40    ;CIDADE TIRADENTES;08471450;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300045;INSTIT.;ASS BENEFICENTE COMUNITARIA CULTURAL ESPORTIVA ELITE DO ESTA;;;;RUA FRANCISCO JOSÉ VIANA;246   ;CIDADE TIRADENTES;08471533;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE COMUNITARIA CULTURAL ESPORTIV;;;;;;;;;;;;;;;;;;;;;;;;;;
;300046;INSTIT.;ASS BENEF .COMUNITARIA E CULT. NUCLEO DE ATENDIMENTO SOCIAL;;;;RUA LUÍS BORDESE;93    ;CIDADE TIRADENTES;08471790;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE COMUNITARIA E CULTURAL NUCLEO;;;;;;;;;;;;;;;;;;;;;;;;;;
;300048;INSTIT.;ASS BENEFICENTE COMUNITARIA MAOS ESTENDIDAS;;;;RUA CARLOS DIAS;20    ;CIDADE TIRADENTES;08470630;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE COMUNITARIA EM ITAQUERA E ADJ;;;;;;;;;;;;;;;;;;;;;;;;;;
;300049;INSTIT.;ASS COMUNITARIA MONTANHA DO SABER SEM FIM;;;;RUA TORRE DA LAPELA;23    ;JARDIM SOARES;08460210;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300050;INSTIT.;ARRASTAO MOVIMENTO DE PROMOCAO HUMANA;;;;RUA DOUTOR JOVIANO PACHECO DE AGUIRRE;255   ;JARDIM BOM REFÚGIO;05788290;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300051;INSTIT.;ASSISTENCIA SOCIAL A COLMEIA;;;;AVENIDA RODOLFO PIRANI;445   ;JARDIM RODOLFO PIRANI;08310000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
